abordagem,workers,total,media_s
Sequential,-,100,94.52
Threading,2,100,54.55
Threading,4,100,29.31
Threading,8,100,18.25
Multiprocessing,2,100,51.82
Multiprocessing,4,100,29.92
Multiprocessing,8,100,18.12
concurrent.futures,2,100,49.41
concurrent.futures,4,100,26.93
concurrent.futures,8,100,15.46
Sequential,-,500,481.65
Threading,2,500,268.41
Threading,4,500,148.22
Threading,8,500,88.21
Multiprocessing,2,500,235.68
Multiprocessing,4,500,124.47
Multiprocessing,8,500,75.38
concurrent.futures,2,500,278.84
concurrent.futures,4,500,180.71
concurrent.futures,8,500,100.42
Sequential,-,1000,1097.2
Threading,2,1000,491.52
Threading,4,1000,270.4
Threading,8,1000,174.51
Multiprocessing,2,1000,448.48
Multiprocessing,4,1000,224.29
Multiprocessing,8,1000,143.63
concurrent.futures,2,1000,460.54
concurrent.futures,4,1000,244.61
concurrent.futures,8,1000,155.58
